,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1,levodopa_1,UPDRS_1
burstduration_1,1.0,-0.821121654048746,-0.5525673490718573,0.3463629717453404,-0.09036129530514789,-0.07542366310592637,-0.0895918889923425,-0.0011204605029517532,0.09318760100173538
burstinterval_1,-0.821121654048746,1.0,0.5758141321080585,-0.3149190767808148,-0.02940146659266635,-0.032539363009345575,-0.028831082489957447,0.015200052999040663,-0.15825179208766868
Ku_1,-0.5525673490718573,0.5758141321080585,1.0,-0.5618714707027319,0.43555232752627787,0.38150715130212187,0.4198250995844289,0.15812937804427643,-0.21062463503412512
CorrDim_1,0.3463629717453404,-0.3149190767808148,-0.5618714707027319,1.0,-0.5183897952081739,-0.4882989242477849,-0.5097432473402288,-0.26142719660296165,0.22804741618044747
PSD_3_to_7_1,-0.09036129530514789,-0.02940146659266635,0.43555232752627787,-0.5183897952081739,1.0,0.9910880748641149,0.998922756616385,0.039041939843317004,-0.13027201395755406
PSD_12_to_30_1,-0.07542366310592637,-0.032539363009345575,0.38150715130212187,-0.4882989242477849,0.9910880748641149,1.0,0.9950748809031749,0.03313367131880505,-0.10038364692812556
PSD_20_to_40_1,-0.0895918889923425,-0.028831082489957447,0.4198250995844289,-0.5097432473402288,0.998922756616385,0.9950748809031749,1.0,0.03809747659900301,-0.12735349146421887
levodopa_1,-0.0011204605029517532,0.015200052999040663,0.15812937804427643,-0.26142719660296165,0.039041939843317004,0.03313367131880505,0.03809747659900301,1.0,-0.3429280161041217
UPDRS_1,0.09318760100173538,-0.15825179208766868,-0.21062463503412512,0.22804741618044747,-0.13027201395755406,-0.10038364692812556,-0.12735349146421887,-0.3429280161041217,1.0
""
,burstduration_10,burstinterval_10,Ku_10,CorrDim_10,PSD_3_to_7_10,PSD_12_to_30_10,PSD_20_to_40_10,levodopa_10,UPDRS_10
burstduration_10,1.0,-0.8277843614230582,-0.38013729883484904,0.3371477603783389,0.05033933750352703,-0.12591863484528493,0.041105900796558924,-0.26259621515535075,0.3014075066218423
burstinterval_10,-0.8277843614230582,1.0,0.4196909388368932,-0.3379973322890012,-0.13106464908450294,-0.007639985284689121,-0.14601185518559068,0.18846446444142778,-0.20123112548397937
Ku_10,-0.38013729883484904,0.4196909388368932,1.0,-0.2175135749505009,0.38945600690702215,0.24065930692876647,0.3134245595754784,0.11558481311780336,0.029709093556962884
CorrDim_10,0.3371477603783389,-0.3379973322890012,-0.2175135749505009,1.0,-0.23146938216975413,-0.041661940740727196,-0.18573613351495408,-0.4162615091015591,-0.19553061497336266
PSD_3_to_7_10,0.05033933750352703,-0.13106464908450294,0.38945600690702215,-0.23146938216975413,1.0,0.7127642581051107,0.9756450289680444,0.2124627064649666,0.30279361804471144
PSD_12_to_30_10,-0.12591863484528493,-0.007639985284689121,0.24065930692876647,-0.041661940740727196,0.7127642581051107,1.0,0.7799752244976371,0.23862875346327084,-0.28700643310043694
PSD_20_to_40_10,0.041105900796558924,-0.14601185518559068,0.3134245595754784,-0.18573613351495408,0.9756450289680444,0.7799752244976371,1.0,0.16405474492991654,0.22884928099868407
levodopa_10,-0.26259621515535075,0.18846446444142778,0.11558481311780336,-0.4162615091015591,0.2124627064649666,0.23862875346327084,0.16405474492991654,1.0,-0.3429280161041217
UPDRS_10,0.3014075066218423,-0.20123112548397937,0.029709093556962884,-0.19553061497336266,0.30279361804471144,-0.28700643310043694,0.22884928099868407,-0.3429280161041217,1.0
""
,burstduration_11,burstinterval_11,Ku_11,CorrDim_11,PSD_3_to_7_11,PSD_12_to_30_11,PSD_20_to_40_11,levodopa_11,UPDRS_11
burstduration_11,1.0,-0.6745423730454877,-0.08183971384623365,0.14968590447505264,0.08482212017801545,0.07386771303323428,0.08205069835938227,0.1079779199329748,0.24166092685885693
burstinterval_11,-0.6745423730454877,1.0,0.4861546906328938,-0.016653395078767546,-0.20095954473078276,-0.20808344802290993,-0.2011380689127301,-0.2500934718859418,0.0835631339030559
Ku_11,-0.08183971384623365,0.4861546906328938,1.0,0.4844153144731033,-0.69558431866903,-0.7000547083463982,-0.6975559659155293,-0.030922687585353173,0.293468705853307
CorrDim_11,0.14968590447505264,-0.016653395078767546,0.4844153144731033,1.0,-0.5421692058443373,-0.5853251829852038,-0.5531602534681329,0.47508586210869364,0.09002956766748611
PSD_3_to_7_11,0.08482212017801545,-0.20095954473078276,-0.69558431866903,-0.5421692058443373,1.0,0.9910442253487463,0.9989452281740446,-0.3876703790119775,0.21219352515203868
PSD_12_to_30_11,0.07386771303323428,-0.20808344802290993,-0.7000547083463982,-0.5853251829852038,0.9910442253487463,1.0,0.9939007286844022,-0.39106182401275746,0.19709659777464586
PSD_20_to_40_11,0.08205069835938227,-0.2011380689127301,-0.6975559659155293,-0.5531602534681329,0.9989452281740446,0.9939007286844022,1.0,-0.38862316263566227,0.205252001094499
levodopa_11,0.1079779199329748,-0.2500934718859418,-0.030922687585353173,0.47508586210869364,-0.3876703790119775,-0.39106182401275746,-0.38862316263566227,1.0,-0.3429280161041217
UPDRS_11,0.24166092685885693,0.0835631339030559,0.293468705853307,0.09002956766748611,0.21219352515203868,0.19709659777464586,0.205252001094499,-0.3429280161041217,1.0
""
,burstduration_12,burstinterval_12,Ku_12,CorrDim_12,PSD_3_to_7_12,PSD_12_to_30_12,PSD_20_to_40_12,levodopa_12,UPDRS_12
burstduration_12,1.0,-0.541421689838817,-0.4688889118753012,0.29218716185339844,0.2684206258242938,0.017277995169750208,0.37184463031974113,-0.25888884531060213,0.06263664260911285
burstinterval_12,-0.541421689838817,1.0,0.6636373003454994,-0.27459823583898346,-0.1552355107827547,0.13015687112159768,-0.30923193874890825,0.23583017618199878,-0.01680989047218594
Ku_12,-0.4688889118753012,0.6636373003454994,1.0,-0.45174993975131317,-0.14435313966095384,0.15422048315058728,-0.2995232355892937,0.4498662160297556,0.0842342243588449
CorrDim_12,0.29218716185339844,-0.27459823583898346,-0.45174993975131317,1.0,-0.270377861644649,-0.5311642709854046,-0.07807428271318292,-0.8446086607266028,-0.06750026170845594
PSD_3_to_7_12,0.2684206258242938,-0.1552355107827547,-0.14435313966095384,-0.270377861644649,1.0,0.900497541199738,0.9682816399439386,0.15686521361580938,0.14970477212521138
PSD_12_to_30_12,0.017277995169750208,0.13015687112159768,0.15422048315058728,-0.5311642709854046,0.900497541199738,1.0,0.7854629892640236,0.441883387398673,0.07116507724547701
PSD_20_to_40_12,0.37184463031974113,-0.30923193874890825,-0.2995232355892937,-0.07807428271318292,0.9682816399439386,0.7854629892640236,1.0,-0.02347936147869634,0.17790513992395518
levodopa_12,-0.25888884531060213,0.23583017618199878,0.4498662160297556,-0.8446086607266028,0.15686521361580938,0.441883387398673,-0.02347936147869634,1.0,-0.3429280161041217
UPDRS_12,0.06263664260911285,-0.01680989047218594,0.0842342243588449,-0.06750026170845594,0.14970477212521138,0.07116507724547701,0.17790513992395518,-0.3429280161041217,1.0
""
,burstduration_13,burstinterval_13,Ku_13,CorrDim_13,PSD_3_to_7_13,PSD_12_to_30_13,PSD_20_to_40_13,levodopa_13,UPDRS_13
burstduration_13,1.0,0.16759042490588522,-0.17082379074636397,-0.004783939478686265,-0.332658216075043,-0.024182131450740243,-0.24180639699164588,-0.07440963721835707,0.3959611674044697
burstinterval_13,0.16759042490588522,1.0,0.04590579390643273,0.08100038136509792,-0.37176868642582905,-0.05122409847881828,-0.16751721634304365,-0.17733405309544634,0.3814797304614344
Ku_13,-0.17082379074636397,0.04590579390643273,1.0,-0.06705046167928254,0.514965140787407,0.49434271760023923,0.414938568467665,0.5191965865604996,-0.37007467663560606
CorrDim_13,-0.004783939478686265,0.08100038136509792,-0.06705046167928254,1.0,0.10977186701668705,0.011472637734676387,0.06456685338646394,0.23273203658071456,-0.054693076980383344
PSD_3_to_7_13,-0.332658216075043,-0.37176868642582905,0.514965140787407,0.10977186701668705,1.0,0.6195965122287572,0.8826837676797296,0.598471754823599,-0.6909144755630064
