,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1,levodopa_1
burstduration_1,1.0,0.07273666207183667,0.03373363659090944,-0.011487316517694246,0.04967175355706015,-0.030149789688160705,-0.0262554730510281,-0.006386792330367659
burstinterval_1,0.07273666207183667,1.0,0.07003511556532294,0.018504286014529418,0.3972852292728084,0.3622518333970582,0.37011275735569793,0.22950821294867893
Ku_1,0.03373363659090944,0.07003511556532294,1.0,0.06659820990372335,-0.42959385265589406,-0.4228517680859929,-0.412473912754357,-0.3782106099175522
CorrDim_1,-0.011487316517694246,0.018504286014529418,0.06659820990372335,1.0,-0.3327487849413724,-0.30568024398311033,-0.3148794048893504,0.07043097044716164
PSD_3_to_7_1,0.04967175355706015,0.3972852292728084,-0.42959385265589406,-0.3327487849413724,1.0,0.9325355783222209,0.9582627177280135,0.06823931525722238
PSD_12_to_30_1,-0.030149789688160705,0.3622518333970582,-0.4228517680859929,-0.30568024398311033,0.9325355783222209,1.0,0.9830004234664564,-0.04523070299785771
PSD_20_to_40_1,-0.0262554730510281,0.37011275735569793,-0.412473912754357,-0.3148794048893504,0.9582627177280135,0.9830004234664564,1.0,-0.022096580897682735
levodopa_1,-0.006386792330367659,0.22950821294867893,-0.3782106099175522,0.07043097044716164,0.06823931525722238,-0.04523070299785771,-0.022096580897682735,1.0
""
,burstduration_10,burstinterval_10,Ku_10,CorrDim_10,PSD_3_to_7_10,PSD_12_to_30_10,PSD_20_to_40_10,levodopa_10
burstduration_10,1.0,-0.06886252850698743,-0.16747019233505267,-0.05102528979921671,0.018184666014080902,-0.09937629039529283,0.019705372236518248,0.15575497015381495
burstinterval_10,-0.06886252850698743,1.0,-0.08742594055396505,0.08147434429617105,-0.030805028995939246,-0.17868088823724468,-0.09835076647873044,-0.32696300150522434
Ku_10,-0.16747019233505267,-0.08742594055396505,1.0,0.05084760051163816,-0.12790866769336348,0.042763292946481346,-0.06322828938289173,-0.05630397935018048
CorrDim_10,-0.05102528979921671,0.08147434429617105,0.05084760051163816,1.0,0.13453440621946916,-0.12134494594584969,0.13822279243301155,-0.04600942481538325
PSD_3_to_7_10,0.018184666014080902,-0.030805028995939246,-0.12790866769336348,0.13453440621946916,1.0,0.6906391514081415,0.891203894714564,-0.13993266633239188
PSD_12_to_30_10,-0.09937629039529283,-0.17868088823724468,0.042763292946481346,-0.12134494594584969,0.6906391514081415,1.0,0.6832179065519187,0.08139431210987615
PSD_20_to_40_10,0.019705372236518248,-0.09835076647873044,-0.06322828938289173,0.13822279243301155,0.891203894714564,0.6832179065519187,1.0,-0.18582257444011385
levodopa_10,0.15575497015381495,-0.32696300150522434,-0.05630397935018048,-0.04600942481538325,-0.13993266633239188,0.08139431210987615,-0.18582257444011385,1.0
""
,burstduration_11,burstinterval_11,Ku_11,CorrDim_11,PSD_3_to_7_11,PSD_12_to_30_11,PSD_20_to_40_11,levodopa_11
burstduration_11,1.0,0.09620795662157282,-0.31707204286913554,0.08736327915135246,-0.20478557772328662,-0.18004040810528307,-0.20303866507357682,0.05476444986337792
burstinterval_11,0.09620795662157282,1.0,0.24057008932793278,-0.6138590327551081,0.07359315382346741,0.14150489591927234,0.047291339818014054,-0.36974872301225387
Ku_11,-0.31707204286913554,0.24057008932793278,1.0,-0.462924950300897,0.7266868864860951,0.7352583036192422,0.718512786768869,-0.30472340324617053
CorrDim_11,0.08736327915135246,-0.6138590327551081,-0.462924950300897,1.0,-0.4462191154792655,-0.4444161303409107,-0.40222052401386504,0.4566058513761294
PSD_3_to_7_11,-0.20478557772328662,0.07359315382346741,0.7266868864860951,-0.4462191154792655,1.0,0.8435716757085764,0.9780949911481657,-0.08262225461275471
PSD_12_to_30_11,-0.18004040810528307,0.14150489591927234,0.7352583036192422,-0.4444161303409107,0.8435716757085764,1.0,0.8274541768900113,-0.12060893566279982
PSD_20_to_40_11,-0.20303866507357682,0.047291339818014054,0.718512786768869,-0.40222052401386504,0.9780949911481657,0.8274541768900113,1.0,-0.07462841016259908
levodopa_11,0.05476444986337792,-0.36974872301225387,-0.30472340324617053,0.4566058513761294,-0.08262225461275471,-0.12060893566279982,-0.07462841016259908,1.0
""
,burstduration_12,burstinterval_12,Ku_12,CorrDim_12,PSD_3_to_7_12,PSD_12_to_30_12,PSD_20_to_40_12,levodopa_12
burstduration_12,1.0,-0.2188792631508138,-0.0028436356137653837,0.22056040763463186,0.3546341810397511,0.3515719125987372,0.37025123244733893,0.28966004942438167
burstinterval_12,-0.2188792631508138,1.0,0.024002291634408934,0.24886100021217164,-0.599341001885113,-0.5951109735920733,-0.5934793726499659,-0.08327732048646587
Ku_12,-0.0028436356137653837,0.024002291634408934,1.0,-0.22577169627577204,0.23389928941775728,0.3345630303927829,0.19727154006565456,0.14286588480135226
CorrDim_12,0.22056040763463186,0.24886100021217164,-0.22577169627577204,1.0,-0.242841554344364,-0.27947798290279613,-0.2081005601770224,-0.11017856293255739
PSD_3_to_7_12,0.3546341810397511,-0.599341001885113,0.23389928941775728,-0.242841554344364,1.0,0.9817228938937216,0.9950410882530324,0.46110812923114247
PSD_12_to_30_12,0.3515719125987372,-0.5951109735920733,0.3345630303927829,-0.27947798290279613,0.9817228938937216,1.0,0.9744079914175913,0.47971356059933856
PSD_20_to_40_12,0.37025123244733893,-0.5934793726499659,0.19727154006565456,-0.2081005601770224,0.9950410882530324,0.9744079914175913,1.0,0.4509077975648083
levodopa_12,0.28966004942438167,-0.08327732048646587,0.14286588480135226,-0.11017856293255739,0.46110812923114247,0.47971356059933856,0.4509077975648083,1.0
""
,burstduration_13,burstinterval_13,Ku_13,CorrDim_13,PSD_3_to_7_13,PSD_12_to_30_13,PSD_20_to_40_13,levodopa_13
burstduration_13,1.0,0.25757412700354676,0.08550922806986685,0.22102485844460895,-0.26397441474010735,-0.27571514713590933,-0.2850220631321807,0.07856477926062
burstinterval_13,0.25757412700354676,1.0,0.1322898484964781,0.4740402363842463,-0.5377341013024015,-0.5395396116730897,-0.5459286648889599,0.45914309460512076
Ku_13,0.08550922806986685,0.1322898484964781,1.0,0.11379923765565106,-0.03149768764858134,0.05576227734945358,-0.006716720739294818,-0.07314255047720927
CorrDim_13,0.22102485844460895,0.4740402363842463,0.11379923765565106,1.0,-0.4364848379376943,-0.4297762093155085,-0.4055915485440516,0.3522732273642772
PSD_3_to_7_13,-0.26397441474010735,-0.5377341013024015,-0.03149768764858134,-0.4364848379376943,1.0,0.9895204659632668,0.9900723977067021,-0.7167434435730042
PSD_12_to_30_13,-0.27571514713590933,-0.5395396116730897,0.05576227734945358,-0.4297762093155085,0.9895204659632668,1.0,0.98636352632141,-0.7431863945989672
PSD_20_to_40_13,-0.2850220631321807,-0.5459286648889599,-0.006716720739294818,-0.4055915485440516,0.9900723977067021,0.98636352632141,1.0,-0.7161042603671782
levodopa_13,0.07856477926062,0.45914309460512076,-0.07314255047720927,0.3522732273642772,-0.7167434435730042,-0.7431863945989672,-0.7161042603671782,1.0
""
,burstduration_14,burstinterval_14,Ku_14,CorrDim_14,PSD_3_to_7_14,PSD_12_to_30_14,PSD_20_to_40_14,levodopa_14
burstduration_14,1.0,0.3271362175775543,0.26695496613289466,0.2283622686256752,0.18457031300585378,0.1654068486586757,0.185457052504774,0.0743988805050889
