,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1
burstduration_1,1.0,-0.40376060495153765,-0.20715365984133957,0.1585043141852305,-0.22803483877938108,-0.2280263726801159,-0.23137402798813306
burstinterval_1,-0.40376060495153765,1.0,0.3350213011251629,0.1179724894451169,-0.031524955241513594,-0.03935081376132083,-0.03384543359775479
Ku_1,-0.20715365984133957,0.3350213011251629,1.0,0.045662521281203114,-0.22856353468057133,-0.2026414994054234,-0.2003824309313256
CorrDim_1,0.1585043141852305,0.1179724894451169,0.045662521281203114,1.0,-0.4675353674571412,-0.49782929253181696,-0.49016118519610447
PSD_3_to_7_1,-0.22803483877938108,-0.031524955241513594,-0.22856353468057133,-0.4675353674571412,1.0,0.9893613674223739,0.9935135043227079
PSD_12_to_30_1,-0.2280263726801159,-0.03935081376132083,-0.2026414994054234,-0.49782929253181696,0.9893613674223739,1.0,0.9947603573391154
PSD_20_to_40_1,-0.23137402798813306,-0.03384543359775479,-0.2003824309313256,-0.49016118519610447,0.9935135043227079,0.9947603573391154,1.0
""
,burstduration_10,burstinterval_10,Ku_10,CorrDim_10,PSD_3_to_7_10,PSD_12_to_30_10,PSD_20_to_40_10
burstduration_10,1.0,-0.2859809250474192,-0.4689930632020242,0.26219484929261266,0.2344776193126645,0.14185654805995593,0.1737609732838386
burstinterval_10,-0.2859809250474192,1.0,0.7178182525404152,0.10723400176062509,-0.5125049833828489,-0.5525710599168207,-0.5409346872062802
Ku_10,-0.4689930632020242,0.7178182525404152,1.0,-0.11058770826293457,-0.57378267540899,-0.5203901277833333,-0.5502129550831237
CorrDim_10,0.26219484929261266,0.10723400176062509,-0.11058770826293457,1.0,-0.4307858775570865,-0.5086751199542271,-0.47359204520891757
PSD_3_to_7_10,0.2344776193126645,-0.5125049833828489,-0.57378267540899,-0.4307858775570865,1.0,0.9668329556574257,0.9912502562183529
PSD_12_to_30_10,0.14185654805995593,-0.5525710599168207,-0.5203901277833333,-0.5086751199542271,0.9668329556574257,1.0,0.9868566600465458
PSD_20_to_40_10,0.1737609732838386,-0.5409346872062802,-0.5502129550831237,-0.47359204520891757,0.9912502562183529,0.9868566600465458,1.0
""
,burstduration_11,burstinterval_11,Ku_11,CorrDim_11,PSD_3_to_7_11,PSD_12_to_30_11,PSD_20_to_40_11
burstduration_11,1.0,-0.3007144951634626,-0.3722421185682035,0.28142252511481436,0.34871789872195386,0.34972205675502177,0.32781778660934285
burstinterval_11,-0.3007144951634626,1.0,0.662505449284008,-0.1843898008294923,-0.3694593757516147,-0.3320249438454873,-0.34595952649904205
Ku_11,-0.3722421185682035,0.662505449284008,1.0,-0.5809498516516994,-0.701985494098988,-0.6689846255383666,-0.6725842456068817
CorrDim_11,0.28142252511481436,-0.1843898008294923,-0.5809498516516994,1.0,0.6758362110568993,0.6245472661546914,0.6397828737157535
PSD_3_to_7_11,0.34871789872195386,-0.3694593757516147,-0.701985494098988,0.6758362110568993,1.0,0.9783703694605215,0.9932465027197265
PSD_12_to_30_11,0.34972205675502177,-0.3320249438454873,-0.6689846255383666,0.6245472661546914,0.9783703694605215,1.0,0.9891292640440953
PSD_20_to_40_11,0.32781778660934285,-0.34595952649904205,-0.6725842456068817,0.6397828737157535,0.9932465027197265,0.9891292640440953,1.0
""
,burstduration_12,burstinterval_12,Ku_12,CorrDim_12,PSD_3_to_7_12,PSD_12_to_30_12,PSD_20_to_40_12
burstduration_12,1.0,-0.7508216247920901,-0.6664675572356383,0.487441255969704,0.3881292940728872,0.3947572395419763,0.3937510924083096
burstinterval_12,-0.7508216247920901,1.0,0.711934479909017,-0.6252807647586924,-0.5729418443595454,-0.5797859556909065,-0.5760856917860119
Ku_12,-0.6664675572356383,0.711934479909017,1.0,-0.5860779173039413,-0.41020336920293377,-0.39702852283129436,-0.40504380829456693
CorrDim_12,0.487441255969704,-0.6252807647586924,-0.5860779173039413,1.0,0.32899496885333407,0.3434806402369168,0.32699480372898077
PSD_3_to_7_12,0.3881292940728872,-0.5729418443595454,-0.41020336920293377,0.32899496885333407,1.0,0.9911750299603592,0.9987543317643425
PSD_12_to_30_12,0.3947572395419763,-0.5797859556909065,-0.39702852283129436,0.3434806402369168,0.9911750299603592,1.0,0.9942361721143325
