,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1,levodopa_1,UPDRS_1
burstduration_1,1.0,-0.4375791166522568,0.05009448047745944,-0.24319630445526672,-0.0735651539533789,-0.18030132469828208,-0.15127762274127632,0.14341045419189838,-0.0863423161640791
burstinterval_1,-0.4375791166522568,1.0,0.29827964531182966,0.40414788613854347,-0.22190215233732735,-0.1919619337265921,-0.19775282535074132,0.015059095771030604,-0.3944582573984943
Ku_1,0.05009448047745944,0.29827964531182966,1.0,-0.03531842695348046,-0.03824325917728696,-0.09181741735744547,-0.07709789185242208,-0.01482898145845167,-0.13555116201157813
CorrDim_1,-0.24319630445526672,0.40414788613854347,-0.03531842695348046,1.0,-0.6125735620738577,-0.5924851869066962,-0.6020008616842153,0.4923643663143756,-0.5234614669164958
PSD_3_to_7_1,-0.0735651539533789,-0.22190215233732735,-0.03824325917728696,-0.6125735620738577,1.0,0.9481768863809821,0.9770329938933644,-0.7429112408843033,0.7709290936366066
PSD_12_to_30_1,-0.18030132469828208,-0.1919619337265921,-0.09181741735744547,-0.5924851869066962,0.9481768863809821,1.0,0.9901091410222221,-0.7529589061615222,0.719141993071772
PSD_20_to_40_1,-0.15127762274127632,-0.19775282535074132,-0.07709789185242208,-0.6020008616842153,0.9770329938933644,0.9901091410222221,1.0,-0.753443645399666,0.7506831835368736
levodopa_1,0.14341045419189838,0.015059095771030604,-0.01482898145845167,0.4923643663143756,-0.7429112408843033,-0.7529589061615222,-0.753443645399666,1.0,-0.28130344728672874
UPDRS_1,-0.0863423161640791,-0.3944582573984943,-0.13555116201157813,-0.5234614669164958,0.7709290936366066,0.719141993071772,0.7506831835368736,-0.28130344728672874,1.0
""
,burstduration_10,burstinterval_10,Ku_10,CorrDim_10,PSD_3_to_7_10,PSD_12_to_30_10,PSD_20_to_40_10,levodopa_10,UPDRS_10
burstduration_10,1.0,-0.426617204668893,0.1458052723417086,-0.43866096013484324,0.3032809092463385,0.24577579593417248,0.21573822124629538,0.3197456200705944,-0.3447369351206147
burstinterval_10,-0.426617204668893,1.0,0.6257843001632669,-0.17974195546547908,0.4294579116821024,0.3819387518620523,0.4754985637578848,0.48413652409495717,-0.2984736817417227
Ku_10,0.1458052723417086,0.6257843001632669,1.0,-0.5953808365269303,0.6941330281517915,0.6504550688743266,0.6205262790971429,0.5302998876716535,-0.7501633400030437
CorrDim_10,-0.43866096013484324,-0.17974195546547908,-0.5953808365269303,1.0,-0.7435020059159688,-0.7413429494599676,-0.707226169080706,-0.5503243815801465,0.7346890375230103
PSD_3_to_7_10,0.3032809092463385,0.4294579116821024,0.6941330281517915,-0.7435020059159688,1.0,0.9107841974303321,0.9482522504424938,0.5619459787076281,-0.7735588131476279
PSD_12_to_30_10,0.24577579593417248,0.3819387518620523,0.6504550688743266,-0.7413429494599676,0.9107841974303321,1.0,0.8750193257335099,0.4482507355375817,-0.7606922903124868
PSD_20_to_40_10,0.21573822124629538,0.4754985637578848,0.6205262790971429,-0.707226169080706,0.9482522504424938,0.8750193257335099,1.0,0.6318045979698562,-0.6249831319851566
levodopa_10,0.3197456200705944,0.48413652409495717,0.5302998876716535,-0.5503243815801465,0.5619459787076281,0.4482507355375817,0.6318045979698562,1.0,-0.28130344728672874
UPDRS_10,-0.3447369351206147,-0.2984736817417227,-0.7501633400030437,0.7346890375230103,-0.7735588131476279,-0.7606922903124868,-0.6249831319851566,-0.28130344728672874,1.0
""
,burstduration_11,burstinterval_11,Ku_11,CorrDim_11,PSD_3_to_7_11,PSD_12_to_30_11,PSD_20_to_40_11,levodopa_11,UPDRS_11
burstduration_11,1.0,-0.8913707777800104,-0.8364003960382448,0.5585243747501195,0.7564993208341717,0.7571698421134764,0.7449456904433204,-0.6310269590716847,0.6520456839327383
burstinterval_11,-0.8913707777800104,1.0,0.8422126938048733,-0.41704281561308904,-0.7421756638480875,-0.7252327489036043,-0.7395113911489819,0.6004266696317166,-0.6608794820937564
Ku_11,-0.8364003960382448,0.8422126938048733,1.0,-0.37322745290358694,-0.71220000697095,-0.7370429974193878,-0.6911126004096357,0.5585019855927525,-0.7024490992553952
CorrDim_11,0.5585243747501195,-0.41704281561308904,-0.37322745290358694,1.0,0.3694800798384363,0.33413539885883226,0.3786222824486744,-0.2056826290743396,0.5177772326404328
PSD_3_to_7_11,0.7564993208341717,-0.7421756638480875,-0.71220000697095,0.3694800798384363,1.0,0.9624381315016762,0.9941806090123441,-0.8365026566311108,0.7232415669878607
PSD_12_to_30_11,0.7571698421134764,-0.7252327489036043,-0.7370429974193878,0.33413539885883226,0.9624381315016762,1.0,0.938599426506512,-0.8049518476262988,0.6960051922905303
PSD_20_to_40_11,0.7449456904433204,-0.7395113911489819,-0.6911126004096357,0.3786222824486744,0.9941806090123441,0.938599426506512,1.0,-0.835868087481041,0.723241370650275
levodopa_11,-0.6310269590716847,0.6004266696317166,0.5585019855927525,-0.2056826290743396,-0.8365026566311108,-0.8049518476262988,-0.835868087481041,1.0,-0.28130344728672874
UPDRS_11,0.6520456839327383,-0.6608794820937564,-0.7024490992553952,0.5177772326404328,0.7232415669878607,0.6960051922905303,0.723241370650275,-0.28130344728672874,1.0
""
,burstduration_12,burstinterval_12,Ku_12,CorrDim_12,PSD_3_to_7_12,PSD_12_to_30_12,PSD_20_to_40_12,levodopa_12,UPDRS_12
burstduration_12,1.0,-0.24359866260152815,-0.3480689023945035,0.1649478277045485,-0.040356877241233394,-0.15135117829736336,0.034343171380757494,0.025546758274521714,0.0672108392081483
burstinterval_12,-0.24359866260152815,1.0,0.6986518347882785,0.5357870725629487,-0.37487831533874433,-0.1792611317853163,-0.4743493228289267,-0.6589663705263163,0.5903670859534905
Ku_12,-0.3480689023945035,0.6986518347882785,1.0,0.23788021654660937,-0.07795618842191643,0.1912998257680318,-0.17270589611008438,-0.61321241395855,0.20636629852399666
CorrDim_12,0.1649478277045485,0.5357870725629487,0.23788021654660937,1.0,-0.29484870181212375,-0.29022087478313974,-0.351563075198099,-0.33400032775919597,0.47937538650399625
PSD_3_to_7_12,-0.040356877241233394,-0.37487831533874433,-0.07795618842191643,-0.29484870181212375,1.0,0.812217005665844,0.9745578356592312,0.5055139364501383,0.13068452637257486
